'Tensao_kV';'Potencia_MVA';'TipoComutadorDeriv';'AnosDeOperacao';'RigidezDieletrica';'AguaNoOleo';'TensaoInterfacial';'IndiceNeutralizacao';'Cor';'Densidade';'FPD_25oC';'FPD_100oC';'MonitEspecial'
230;30;Em Carga (CDC);25.11;86.2;15;33.5;NULL;2;0.86422;0.019;1.598;0
230;66.6;Sem Comutador;43.87;99.7;9;29.7;NULL;3;0.8821;0.052;2.057;0
230;33.33;Em Carga (CDC);14.11;98.2;7;40.3;NULL;1;0.88112;0.006;0.343;0
230;30;Em Carga (CDC);27.84;96.5;16;30.3;0.02;2;0.87231;0.973;10.062;0
15;1.238;Sem Comutador;4.40;94.8;14;33.6;NULL;1.5;0.87842;0.011;0.629;0
13.8;405;Em Carga (CDC);15.32;NULL;7;NULL;NULL;NULL;NULL;NULL;NULL;0
230;100;Em Carga (CDC);12.02;98.6;7;38.2;NULL;1;0.87837;0.004;0.532;0
550;550;Em Carga (CDC);10.08;88.1;10;43.6;NULL;0.5;0.87343;0.0045;0.1147;0
550;200;Em Carga (CDC);37.01;95.5;15;33.1;0.01;1.5;0.88346;0.019;1.021;0
550;150;Em Carga (CDC);16.88;98.7;11;41.8;NULL;0.5;0.87516;0.0042;0.1194;0
230;50;Sem Comutador;9.95;87.4;9;36.1;0;1;0.87955;0.007;0.38;0
500;150;Em Carga (CDC);23.86;82;9;40.1;NULL;0.5;0.88618;0.002;0.093;0
13.8;405;Em Carga (CDC);20.44;97;6;39.5;NULL;0.5;0.88225;0.001;0.294;0
230;60;Sem Comutador;26.70;100.2;12;30.9;NULL;1.5;0.86647;0.061;1.445;0
525;60;Em Carga (CDC);24.70;99.4;7;40.5;NULL;1;0.86655;0.0028;0.1186;0
550;0;Em Carga (CDC);11.48;92.3;11;41.3;NULL;0;0.87793;0.003;0.089;0
230;50;Em Carga (CDC);43.85;87.7;20;29.9;0.05;4;0.87804;0.151;4.804;0
13.8;2.5;Sem Tensão (CDST);42.12;36.8;36;32.5;NULL;1;0.87687;0.017;0.912;1
230;100;Em Carga (CDC);41.71;96.2;21;29.1;NULL;3.5;0.87914;0.088;4.274;1
13.8;0;Sem Tensão (CDST);40.95;56.8;20;31.7;0.03;2;0.87942;0.061;1.926;0
230;60;Em Carga (CDC);5.67;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0
500;1;Em Carga (CDC);23.86;84.3;11;44.4;0;0;0.86964;0.01;0.236;0
138;15;Sem Tensão (CDST);15.96;72.4;15;37.6;NULL;1.5;0.8843;0.012;1.004;0
230;65;Em Carga (CDC);8.74;100.1;13;36.9;0;0;0.87838;0.011;0.6;0
230;50;Em Carga (CDC);42.79;80;18;31.5;0.02;3;0.87663;0.097;2.695;0
230;50;Em Carga (CDC);42.79;92.9;26;34.6;0.03;3;0.87662;0.0635;2.29;0
500;100;Em Carga (CDC);11.93;100;5;38.8;NULL;0.5;0.8781;0.003;0.1524;0
230;33.3;Em Carga (CDC);40.37;80.7;25;35.7;0.01;1.5;0.87384;0.018;0.832;0
230;18.33;Sem Comutador;15.40;100.1;9;34.5;0.01;1;0.87645;0.006;0.237;0
18.8;2.5;Sem Tensão (CDST);42.12;58.1;30;31.1;NULL;1.5;0.88107;0.021;1.194;0
230;150;Em Carga (CDC);5.93;93.3;9;39.5;NULL;0.5;0.87577;0.021;1.061;0
500;150;Em Carga (CDC);10.17;99.5;11;42.3;0;0.5;0.87149;0.003;0.123;0
13.8;387;Sem Comutador;36.33;99.2;7;35.6;NULL;1;0.87568;0.0054;0.4095;0
525;60;Em Carga (CDC);24.70;96.4;7;38.7;NULL;1;0.86656;0.0034;0.133;0
230;33.3;Em Carga (CDC);35.87;100.1;10;28.8;NULL;3;0.8668;0.1537;4.693;0
230;100;Em Carga (CDC);7.76;93;15;45.6;0;0;0.87033;0.007;0.436;0
230;55;Em Carga (CDC);13.21;100.1;9;45.2;0;0.5;0.88127;0.001;0.446;0
230;100;Em Carga (CDC);25.50;96.4;9;42.5;NULL;1;0.88606;0.01;0.4;0
500;409.6;Em Carga (CDC);10.94;97.1;12;44.2;NULL;0;0.88705;0.003;0.149;0
500;150;Em Carga (CDC);10.17;83.8;11;42.3;0;1;0.87091;0.003;0.181;0
138;11.333;NULL;23.61;35.7;31;26.8;NULL;2;0.87484;0.04;2.401;1
230;150;Em Carga (CDC);11.86;98.7;7;40.6;NULL;0.5;0.87644;0.001;0.197;0
230;60;Em Carga (CDC);26.86;96;9;35.6;NULL;1.5;0.8655;0.011;0.647;0
500;292;Em Carga (CDC);9.98;95.2;14;41.4;0;0.5;0.8761;0.004;0.089;0
500;250;Em Carga (CDC);13.03;87.6;9;40.9;NULL;0.5;0.8783;0.001;0.169;0
13.8;10;Em Carga (CDC);2.22;64.8;20;28.5;NULL;0.5;0.88788;0.099;2.271;0
230;18.33;Sem Comutador;15.40;97.4;8;35.3;0.01;1;0.87652;0.006;0.287;0
230;100;Em Carga (CDC);20.31;91.9;12;43.2;0;1;0.88755;0.005;0.22;0
13.8;6.25;Em Carga (CDC);23.86;100.1;68;22.5;0.08;NULL;0.91695;0.346;7.1044;0
230;230;Em Carga (CDC);7.73;100.1;9;40.7;0;0.5;0.87646;0.004;0.576;0
69;30;Sem Comutador;33.63;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0
13.8;387;Sem Comutador;23.86;68.3;19;32.6;0.02;2;0.87245;0.021;1.097;0
230;60;Em Carga (CDC);24.86;91.8;9;31.5;0.03;2;0.86122;0.087;2.427;0
230;30;Em Carga (CDC);5.88;100.1;10;44.7;0;0;0.87469;0.015;0.352;0
230;150;Em Carga (CDC);5.93;93.2;8;43.6;NULL;0;0.88341;0.02;0.727;0
230;100;Em Carga (CDC);25.44;99.5;8;37.9;0.01;0.5;0.86507;0.005;0.195;0
500;1;Em Carga (CDC);23.86;97;10;43.5;0;0;0.86953;0.016;1.286;0
500;100;Em Carga (CDC);42.21;89.8;13;33;NULL;1.5;0.8762;0.02;0.631;0
13.8;405;Em Carga (CDC);16.59;NULL;5;NULL;NULL;NULL;NULL;NULL;NULL;0
500;250;Em Carga (CDC);41.82;84.3;11;29.5;NULL;2;0.88216;0.012;0.733;0
550;150;Em Carga (CDC);16.94;100.1;7;43;0;1;0.87423;0.005;0.174;0
230;60;Em Carga (CDC);6.88;91.7;5;43;NULL;0;0.87308;0.006;0.144;0
138;405;NULL;6.91;23;45;39;NULL;0.5;0.87793;0.004;0.14;0
500;292;Em Carga (CDC);9.98;96.6;11;43.8;0;0;0.87589;0.002;0.295;0
230;36.7;Sem Comutador;11.57;98.8;7;37.3;0.01;0.5;0.87874;0.004;0.236;0
230;100;Em Carga (CDC);35.33;100.1;12;32.1;NULL;3;0.88322;0.104;3.926;0
230;100;Em Carga (CDC);27.36;92.6;11;35.6;NULL;1.5;0.86667;0.013;0.631;0
230;50;Em Carga (CDC);40.95;87.2;7;41.3;0;0.5;0.87821;0.012;1.022;0
230;18.33;Sem Comutador;15.40;75.3;9;32.9;0.01;1;0.8765;0.005;0.31;0
230;100;Em Carga (CDC);9.60;76.4;15;38.5;NULL;0.5;0.88095;0.006;0.195;0
138;14;Sem Tensão (CDST);12.17;82.7;11;38.6;0;1;0.87825;0.005;0.218;0
550;150;Em Carga (CDC);11.74;100.1;5;40.9;NULL;1;0.87254;0.005;0.184;0
230;30;Em Carga (CDC);25.73;93.1;24;25.6;NULL;3;0.866;0.163;4.125;1
13.8;0;Sem Tensão (CDST);41.95;52;33;33.7;0.02;1.5;0.8815;0.081;0.899;0
500;100;Em Carga (CDC);42.21;70.8;33;33;NULL;2;0.87825;0.027;1.215;1
230;230;Em Carga (CDC);7.76;91.2;8;41.8;0;0.5;0.87543;0.006;0.315;0
230;100;Em Carga (CDC);22.14;91.3;11;37.2;0.01;0.5;0.86699;0.01;0.601;0
69;30;Sem Comutador;16.23;95.7;13;35.6;NULL;1.5;0.86901;0.021;0.952;0
500;150;Em Carga (CDC);8.74;91.6;9;40.5;0;0;0.87347;0.003;0.124;0
230;18.33;Sem Comutador;15.40;69;10;36.9;0.01;0.5;0.87639;0.007;0.302;0
13.8;0;Sem Tensão (CDST);41.95;61.8;20;32.4;0.03;2;0.8786;0.068;2.175;0
230;50;Em Carga (CDC);28.94;88;14;30.5;0.03;2.5;0.85478;0.059;1.649;0
500;292;Em Carga (CDC);9.98;98.6;7;45.6;0;0;0.88815;0.005;0.107;0
500;630;Em Carga (CDC);10.41;98.9;8;45.5;NULL;0;0.87595;0.002;0.083;0
138;15;Em Carga (CDC);42.07;96.1;14;35;0.01;1.5;0.87917;0.028;1.389;0
525;60;Em Carga (CDC);24.70;83.5;9;39.5;NULL;1;0.86659;0.0058;0.1195;0
230;33.3;Em Carga (CDC);40.37;80.4;18;36.4;0.01;1;0.87543;0.018;0.613;0
13.8;405;Em Carga (CDC);17.42;84.6;16;40.5;0;1;0.88331;0.004;0.311;0
220;12.5;Em Carga (CDC);7.58;82.3;8;40.9;0;0.5;0.87961;0.016;1.369;0
550;150;Em Carga (CDC);24.94;89.3;10;38.2;NULL;1.5;0.86573;0.008;0.826;0
230;100;Em Carga (CDC);22.73;90.1;10;42.1;NULL;1;0.88786;0.002;0.364;0
230;50;Em Carga (CDC);41.95;96.8;10;31.2;0.03;3;0.87955;0.064;2.126;0
230;300;Em Carga (CDC);13.13;89.6;7;39.7;0;1;0.87616;0.008;0.55;0
13.8;0.3;Sem Tensão (CDST);25.44;90.8;9;32.3;0.01;1;0.87646;0.633;10.77;0
230;60;Em Carga (CDC);29.20;61.8;18;32.8;0.01;1.5;0.87334;0.01;0.384;0
230;300;Em Carga (CDC);13.13;92.1;7;39.1;0;1;0.8756;0.009;0.588;0
230;60;Sem Comutador;8.74;93.2;12;40.3;0;0.5;0.87523;0.004;0.237;0
72.5;4479;Sem Comutador;23.86;100.1;16;39.7;0;1.5;0.88155;0.011;0.476;0
500;100;Em Carga (CDC);11.93;100.2;6;37.7;NULL;0.5;0.8776;0.0057;0.2287;0
500;100;Em Carga (CDC);42.21;100.2;11;32.7;NULL;2;0.88053;0.037;1.629;0
230;50;Sem Comutador;16.18;100.1;8;40.4;0;1;0.87479;0.027;1.203;0
550;550;Em Carga (CDC);10.08;90.6;13;44.7;0;0.5;0.87307;0.003;0.178;0
230;55;Em Carga (CDC);16.94;88;9;39.3;NULL;1;0.87636;0.016;1.415;0
230;33.3;Em Carga (CDC);35.87;92.8;7;29.5;NULL;3;0.86308;0.0923;2.9254;0
230;100;Em Carga (CDC);11.18;100.1;9;41.8;NULL;1;0.88714;0.003;0.321;0
230;36.7;Sem Comutador;11.57;98.4;9;37.4;NULL;1;0.87868;0.0101;0.4745;0
230;100;Em Carga (CDC);2.59;88.9;11;38.5;0;0.5;0.87597;0.01;0.322;0
230;60;Em Carga (CDC);36.87;100.1;11;30.2;NULL;1.5;0.88282;0.012;0.612;0
230;100;Em Carga (CDC);14.95;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0
18.8;2.5;Sem Tensão (CDST);42.87;55.1;25;31;NULL;2;0.8771;0.028;1.328;1
550;0;Em Carga (CDC);12.76;100.3;11;41.6;NULL;0;0.87777;0.005;0.123;0
550;150;Em Carga (CDC);24.94;90.5;9;37.1;0;1;0.86541;0.009;0.674;0
500;150;Em Carga (CDC);10.17;29;43;41.2;0;1;0.87105;0.003;0.326;0
69;16.35;Sem Comutador;11.93;81;8;36.2;NULL;1.5;0.87569;0.0148;0.7135;0
500;292;Em Carga (CDC);9.98;96.1;10;42.6;0;0.5;0.87594;0.005;0.09;0
13.8;387;Sem Comutador;25.75;96;13;29.5;NULL;3;0.87314;0.046;2.177;0
230;50;Em Carga (CDC);43.79;98;16;30.6;0.05;3;0.87866;0.115;3.813;0
230;50;Em Carga (CDC);11.04;99;6;39.6;NULL;0.5;0.88832;0.005;0.127;0
13.8;405;Em Carga (CDC);18.86;66.4;17;41.8;0;1;0.87633;0.004;0.161;0
230;65;Em Carga (CDC);8.88;95.5;12;39.4;0;0.5;0.87834;0.016;0.394;0
13.8;0.3;Sem Tensão (CDST);25.44;62.5;17;36.4;NULL;0.5;0.86355;0.023;1.104;0
500;150;Em Carga (CDC);23.86;96;10;43.5;0;0;0.88602;0.002;0.221;0
230;100;Em Carga (CDC);12.02;98.7;12;35.4;0.01;0.5;0.87835;0.005;0.245;0
13.8;0;Sem Tensão (CDST);42.12;23.7;35;31.4;0.02;1.5;0.88062;0.016;1.116;0
500;250;Em Carga (CDC);13.03;94.8;7;38;NULL;0.5;0.87567;0.003;0.345;0
230;100;Em Carga (CDC);11.93;100.1;8;37.1;NULL;0.5;0.87751;0.0085;0.3707;0
138;15;Sem Tensão (CDST);15.96;74.2;15;40.7;NULL;0;0.88592;0.059;1.487;0
500;150;Em Carga (CDC);23.86;99;7;40.2;NULL;0.5;0.88619;0.002;0.073;0
550;120;Em Carga (CDC);42.10;100;5;43.9;NULL;0;0.88115;0.005;0.198;0
13.8;405;Em Carga (CDC);18.74;85.3;14;39.7;NULL;0.5;0.87608;0.0055;0.2636;0
13.8;0.3;Sem Tensão (CDST);25.44;95.9;9;42.5;NULL;0;0.87566;0.0068;0.2071;0
13.8;6;Sem Tensão (CDST);21.11;83.5;28;35.9;0.01;1;0.88535;0.014;0.958;0
230;50;Em Carga (CDC);42.79;88.2;18;30.8;0.03;3;0.87765;0.15;4.853;0
138;11.333;NULL;23.61;53.8;17;31.4;NULL;2;0.8684;0.053;2.015;0
13.8;6;Sem Tensão (CDST);21.02;98;14;35.1;0.01;1;0.88487;0.016;1.49;0
230;50;Em Carga (CDC);28.94;91.9;11;29.7;0.03;2.5;0.87706;0.126;4.435;0
500;250;Em Carga (CDC);41.82;96.7;13;27.7;NULL;2;0.88343;0.03;1.217;0
13.3;13.3;Sem Tensão (CDST);2.96;89.2;13;40.8;0;0;0.87363;0.012;0.485;0
500;150;Em Carga (CDC);8.74;95.6;10;40.9;0;0;0.87537;0.004;0.185;0
500;630;Em Carga (CDC);10.41;93.8;10;41.3;NULL;0;0.87615;0.003;0.1;0
230;65;Em Carga (CDC);10.09;89.9;8;37;NULL;0.5;0.87941;0.011;0.358;0
34.5;0.15;Sem Comutador;25.11;56.9;20;23.3;NULL;2;0.86427;1.191;23.886;0
230;60;Em Carga (CDC);38.74;100.1;11;31;NULL;1.5;0.88401;0.02;0.806;0
13.8;0;Sem Tensão (CDST);20.85;49.5;26;35.5;0.01;2.5;0.87507;0.036;1.287;0
230;60;Em Carga (CDC);36.87;93.3;10;31.7;NULL;1.5;0.88043;0.043;1.854;0
69;10;Em Carga (CDC);32.70;100.1;8;31.2;NULL;2.5;0.88241;0.057;2.631;0
242;100;Em Carga (CDC);20.44;96.6;11;39.3;0;1;0.88841;0.01;0.772;0
230;55;Em Carga (CDC);22.73;89.9;11;43.4;0;0.5;0.88147;0.003;0.599;0
550;0;Em Carga (CDC);11.48;94.4;9;41.9;NULL;0;0.8781;0.003;0.103;0
13.8;0;Sem Tensão (CDST);42.12;59;40;30.5;NULL;1.5;0.88224;0.017;1.028;0
230;30;Em Carga (CDC);13.98;84.4;16;42.1;0;1;0.87663;0.004;0.184;0
69;NULL;Em Carga (CDC);23.86;62.2;18;28.1;0.04;1.5;0.86655;0.021;0.726;0
550;100;Em Carga (CDC);42.71;95.2;15;26.3;NULL;4;0.88324;0.337;15.303;0
230;60;Em Carga (CDC);14.07;75.7;9;40.3;0.02;NULL;0.87744;0.022;0.3442;0
230;100;Em Carga (CDC);10.14;60.9;21;43.8;0;0.5;0.87302;0.012;0.255;0
230;67;Sem Comutador;43.87;98.9;8;32.1;NULL;2.5;0.88009;0.036;1.404;0
230;230;Em Carga (CDC);7.70;97.3;9;41.4;0;0.5;0.87649;0.009;0.278;0
230;55;Em Carga (CDC);15.65;91.2;8;36.7;0.01;1;0.87736;0.016;0.736;0
230;60;Em Carga (CDC);34.74;90.3;11;37.4;0.01;2;0.86643;0.02;0.368;0
230;60;Sem Comutador;14.63;92.4;8;45.1;0;2;0.88749;0.003;0.213;0
230;100;Em Carga (CDC);15.67;70.7;12;40.9;0;0.5;0.88121;0.004;0.517;0
69;75;NULL;25.26;65.9;12;36.9;0.01;1;0.86422;0.014;0.435;0
72.5;8.916;Sem Comutador;23.86;89.9;92;22.5;0.16;1;0.91474;1.954;19.421;0
550;550;Em Carga (CDC);10.08;89;10;43.3;NULL;0.5;0.87304;0.0046;0.1409;0
550;150;Em Carga (CDC);11.74;100.1;5;41.6;NULL;0.5;0.87259;0.006;0.188;0
550;200;Em Carga (CDC);9.45;97.6;13;44.8;0;0;0.87534;0.003;0.103;0
230;300;Em Carga (CDC);13.13;79.8;8;41.4;0;1;0.87563;0.008;0.633;0
230;50;Sem Comutador;9.95;94.1;13;35.6;0;1;0.87959;0.007;0.345;0
550;150;Em Carga (CDC);16.88;99.5;11;38.5;NULL;1;0.87516;0.0046;0.1672;0
500;100;Em Carga (CDC);11.93;96.7;5;37.8;NULL;0.5;0.87786;0.0054;0.1968;0
140;25;Em Carga (CDC);7.58;65.9;14;42.2;0;1;0.87625;0.014;0.576;0
550;200;Em Carga (CDC);30.94;94.8;15;35.1;0.01;1.5;0.8703;0.044;0.831;0
230;100;Em Carga (CDC);15.68;89.5;14;44.5;0;0.5;0.88491;0.006;0.163;0
230;50;Em Carga (CDC);11.18;95.1;9;42;0;1;0.8729;0.005;0.169;0
13.8;1104;Em Carga (CDC);23.86;92.1;188;21;0.3;1.5;0.9173;4.76;78.1;0
230;100;Em Carga (CDC);27.19;91.5;14;40.9;0;1;0.87009;0.004;0.443;0
230;30;Em Carga (CDC);27.84;NULL;20;NULL;NULL;NULL;NULL;NULL;NULL;0
13.8;405;Em Carga (CDC);20.01;69.6;17;44;0;1;0.87675;0.003;0.09;0
230;60;Em Carga (CDC);40.71;82.5;14;29.8;NULL;3.5;0.86977;0.057;1.482;0
500;292;Em Carga (CDC);9.98;99.8;9;42;0;0.5;0.87628;0.001;0.101;0
230;50;Sem Comutador;16.18;95.3;11;38.6;0;1;0.87458;0.015;0.283;0
13.8;0;Sem Tensão (CDST);46.24;62;16;29.9;NULL;3;0.87966;0.094;3.226;0
230;50;Em Carga (CDC);42.79;99.1;14;33;0.02;3;0.87709;0.071;2.176;0
242;100;Em Carga (CDC);21.21;95;16;39.2;0;1;0.88797;0.005;0.224;0
230;10;Em Carga (CDC);11.10;84.2;13;43.2;NULL;0.5;0.88018;0.0105;0.3173;0
138;15;Sem Tensão (CDST);15.96;78.2;14;39.9;NULL;1.5;0.88594;0.006;1.393;0
500;150;Em Carga (CDC);23.86;100.2;8;40.5;NULL;0.5;0.88634;0.001;0.073;0
13.8;0.75;Sem Tensão (CDST);39.03;38;39;31.5;0.02;1;0.88475;0.033;1.836;1
500;NULL;Em Carga (CDC);10.93;94.5;7;37.9;NULL;0;0.88627;0.005;0.155;0
550;150;Em Carga (CDC);11.74;100.2;6;43.4;NULL;0.5;0.87223;0.004;0.114;0
550;200;Em Carga (CDC);30.94;100.1;16;36.2;0.01;1.5;0.8705;0.066;0.902;0
13.8;405;Em Carga (CDC);17.49;74.5;13;39.8;0;0;0.88669;0.003;0.079;0
230;100;Em Carga (CDC);42.08;99.5;12;30.5;0.03;4;0.88282;0.354;13.171;0
13.8;387;Sem Comutador;38.64;NULL;15;NULL;NULL;NULL;NULL;NULL;NULL;0
550;150;Em Carga (CDC);16.88;100.3;11;40.1;NULL;1;0.87519;0.0055;0.1804;0
230;200;Em Carga (CDC);7.93;93.9;11;39.2;NULL;0.5;0.87777;0.0027;0.1775;0
242;100;Em Carga (CDC);20.44;100;9;41.8;0;0.5;0.88116;0.004;0.259;0
230;100;Em Carga (CDC);14.90;93.6;6;40.8;NULL;0.5;0.88597;0.011;0.1747;0
230;33.3;Em Carga (CDC);40.37;92.8;15;37.7;0;1;0.87475;0.013;0.538;0
18.8;2.5;Sem Tensão (CDST);42.12;78.2;26;31.7;NULL;1.5;0.87959;0.016;0.827;0
500;150;Em Carga (CDC);8.74;98.9;9;40.5;0;0;0.87347;0.003;0.124;0
230;150;Em Carga (CDC);10.54;97.2;13;40.4;0;1;0.87315;0.007;0.162;0
230;33;Em Carga (CDC);13.16;78.3;15;41.9;0;1;0.87768;0.002;0.21;0
550;200;Em Carga (CDC);37.78;99.8;9;33.3;NULL;1.5;0.88257;0.025;1.035;0
13.8;0;Sem Tensão (CDST);41.95;42;29;34.8;0.02;1.5;0.88084;0.011;0.705;0
550;200;Em Carga (CDC);9.45;87.8;13;45.1;0;0;0.87552;0.004;0.124;0
230;230;Em Carga (CDC);8.48;90.1;11;40;0;0;0.87846;0.04;0.466;0
550;150;Em Carga (CDC);16.88;100.1;11;40;NULL;1;0.87515;0.0051;0.13;0
230;60;Em Carga (CDC);38.74;99.2;9;33;NULL;1.5;0.88182;0.041;1.836;0
13.8;405;Em Carga (CDC);20.04;6.7;13319;37.3;0.03;1;0.87944;35.65;0.739;0
69;20;Em Carga (CDC);11.81;91.9;140;21.4;0.11;1;0.91587;4.429;42.063;1
230;100;Em Carga (CDC);6.84;100.1;11;42.7;0;0;0.88073;0.022;0.494;0
230;66.6;Sem Comutador;43.87;97.4;8;32.6;NULL;2.5;0.87932;0.067;2.172;0
230;60;Em Carga (CDC);29.36;80.6;11;38.8;NULL;1.5;0.85317;0.021;0.472;0
69;30;NULL;34.37;74.2;18;35.8;NULL;1.5;0.87214;0.016;0.742;0
550;89.3;Em Carga (CDC);7.85;100.2;8;42;NULL;0.5;0.87667;0.0032;0.1587;0
230;100;Em Carga (CDC);15.49;89.8;10;41.4;NULL;0.5;0.88104;0.018;0.471;0
500;250;Em Carga (CDC);13.03;94.7;9;39.1;NULL;0.5;0.87493;0.001;0.182;0
230;65;Em Carga (CDC);17.38;87.1;12;42.7;0;1;0.88156;0.004;0.103;0
230;30;Em Carga (CDC);22.77;98.2;9;39.8;NULL;0.5;0.88874;0.004;0.389;0
